ctre, 42182, 749546
eclipse-gcj-parser, 2401, 1999
cube-blade, 42464, 755312
dtc, 6457, 91970
ecos, 2401, 1999
cube, 42354, 751493
cppzmq, 42311, 749922
dhtest, 2401, 1999
dnsmasq, 2412, 2076
diffsplice, 2402, 2006
easybuild, 6965, 94842
duperemove, 7146, 98952
dnstracer, 2401, 1999
ceed, 94740, 1308526
editline, 3147, 20593
diffutils, 2476, 3729
dmxproto, 2512, 4611
cxxopts, 42197, 749696
cp2k, 72722, 1081684
efivar, 2403, 2013
cuda-memtest, 42276, 749802
cpmd, 42189, 752408
curl, 42132, 746811
date, 42294, 749865
damselfly, 42179, 751232
ed, 2401, 1999
cmor, 42818, 766836
editres, 6566, 98544
docbook-xml, 6258, 87243
couchdb, 42605, 757322
docbook-xsl, 6280, 88400
dataspaces, 42199, 751621
dalton, 42190, 753024
energyplus, 2403, 2013
davix, 42206, 750500
comd, 42721, 766573
enca, 3144, 20486
catalyst, 42593, 757601
callpath, 43430, 773582
dos2unix, 6258, 87241
dakota, 42368, 753499
cosma, 43736, 768324
cistem, 42374, 757344
dpdk, 3179, 21357
environment-modules, 2536, 4005
dosfstools, 3142, 20472
entrezdirect, 3905, 47041
converge, 42267, 751305
caliper, 44764, 789753
casacore, 46197, 814775
cosp2, 42162, 751080
cool, 50062, 926507
camellia, 61233, 985287
ctffind, 42372, 757338
cardioid, 86143, 1203448
dcm2niix, 42172, 749476
dnstop, 6405, 91338
conduit, 47216, 855766
bsseeker2, 47179, 866734
busco, 49816, 932180
cosmomc, 48979, 888935
callflow, 52489, 965800
caffe, 57938, 1007081
cntk, 58021, 1016449
cradl, 61486, 1064267
dcmtk, 42267, 750523
elmerfem, 28797, 26518
erfa, 2402, 2006
debugedit, 42481, 756419
direnv, 42148, 749418
ecp-proxy-apps, 10943, 9443
dmd, 42154, 749544
delta, 42153, 749796
dftd4, 42232, 752325
damaris, 48582, 876682
denovogear, 42473, 756626
discovardenovo, 42426, 756639
dmlc-core, 42179, 749501
eagle, 42269, 753450
dimemas, 42188, 750200
dealii-parameter-gui, 42178, 749604
dbcsr, 46385, 798558
ea-utils, 42588, 768494
dia, 42225, 751420
ddd, 42235, 756816
diy, 42179, 751237
erlang, 3154, 20644
evieext, 2512, 4611
dialign, 2401, 1999
essl, 2440, 2076
dnsmap, 2401, 1999
dsrc, 2401, 1999
dbxtool, 2510, 5352
dri2proto, 2512, 4611
eospac, 2411, 2069
dmidecode, 2401, 1999
expat, 2491, 3819
dracut, 3161, 21325
es-shell, 3252, 22843
exmcutils, 3154, 20520
expect, 3172, 21455
evemu, 3192, 21861
ethtool, 3141, 20465
espanso, 4524, 66965
dropwatch, 6644, 95535
dbus, 7243, 102610
ds, 6717, 101183
exuberant-ctags, 2401, 1999
f90cache, 2402, 2006
fasta, 2437, 2869
fastdb, 2402, 2006
fastjet, 2447, 2249
f2c, 2401, 1999
fakechroot, 2403, 2013
fasd, 2401, 1999
exonerate-gff3, 7140, 98824
enchant, 7218, 101387
exonerate, 7145, 99062
fastjar, 2437, 2869
fastphase, 2401, 1999
fastp, 2401, 1999
fastqvalidator, 2436, 2864
fastdfs, 2931, 13535
fastx-toolkit, 2417, 2803
fastme, 3141, 20465
fasttree, 2401, 1999
ecbuild, 42244, 749741
fcgi, 2401, 1999
fca, 2401, 1999
fakexrandr, 6423, 93243
