py-keystoneauth1, 39255, 388448
py-pathspec, 4356, 28715
py-ppft, 4788, 30542
py-pycbc, 52217, 542963
py-stratify, 39024, 386138
py-youtube-dl, 40036, 401123
r-assertive-data-uk, 39630, 403067
r-compositions, 39826, 409564
r-flexclust, 39463, 398533
r-httr, 39711, 405255
r-minfi, 50706, 696033
r-roxygen2, 42026, 491442
r-tfbstools, 48378, 671872
rsync, 39074, 386465
spiral, 39032, 386078
uchardet, 39037, 386113
xdelta, 39029, 386181
args, 39033, 386085
bowtie2, 39464, 389734
compadre, 45004, 419576
eigenexa, 39214, 393499
fontsproto, 290, 945
fstobdf, 1214, 8278
gccmakedep, 272, 753
giblib, 39096, 388638
hc, 45573, 495503
keepalived, 823, 4116
last, 197, 244
lhapdf, 39038, 63447
libmng, 38991, 384028
mesa-glu, 39037, 386146
nacos, 39012, 386148
opendx, 39122, 388992
perl-gdgraph-histogram, 678, 3380
perl-number-format, 678, 3380
perl-text-diff, 700, 3616
plumed, 43131, 435909
py-azure-mgmt-marketplaceordering, 39604, 402602
py-cligj, 5551, 37122
py-debtcollector, 4609, 30552
py-empy, 4009, 27512
py-fiscalyear, 4433, 28891
py-futures, 4369, 28746
py-google-resumable-media, 4460, 29379
py-htseq, 44065, 455690
py-opcodes, 4355, 28711
py-parso, 4463, 28941
py-pkgconfig, 4520, 29123
py-pure-sasl, 4427, 29490
py-pyfftw, 39366, 389359
py-rospkg, 5228, 34829
py-sh, 4355, 28713
py-spglib, 39043, 386149
py-warlock, 5932, 40673
py-zarr, 39467, 391475
r-argparse, 39444, 400590
r-cluster, 39382, 390246
r-expint, 39288, 390044
r-gower, 39262, 389990
r-leafpop, 45559, 525346
r-plotly, 44758, 591187
r-rpostgresql, 39370, 392305
r-survival, 39518, 394624
r-zip, 39262, 389990
sambamba, 39278, 391283
star-ccm-plus, 203, 262
superchic, 39110, 65600
trinotate, 59655, 991942
aspera-cli, 197, 244
atf, 912, 5498
beforelight, 1487, 11021
blat, 255, 688
bml, 39085, 387234
compositeproto, 290, 945
couchdb, 39464, 389065
ermod, 39207, 389388
gatk, 39402, 390501
half, 198, 251
heaptrack, 39467, 389871
kokkos-kernels, 44866, 416561
libxdmcp, 382, 1702
lighttpd, 39043, 386157
mount-point-attributes, 907, 5459
mptensor, 40055, 407517
openglu, 239, 268
openspeedshop-utils, 2200, 2064
paraver, 39131, 390377
pxz, 238, 502
py-annexremote, 4441, 29257
py-asteval, 4565, 30046
py-awkward0, 39072, 386233
py-bleach, 4569, 30044
py-checkm-genome, 45740, 471725
py-hvac, 39069, 386256
py-nose, 4356, 28720
py-pacifica-uploader, 39023, 386133
py-pyrsistent, 4461, 29384
py-python-engineio, 4467, 29395
py-qtawesome, 40240, 408103
py-torchtext, 52208, 502554
r-assertive-types, 39409, 396396
r-ctc, 39355, 392230
r-gamlss, 39905, 405643
r-interactivedisplaybase, 43597, 558548
r-nmf, 43378, 550917
r-reshape2, 39724, 403283
r-spades-core, 49279, 671957
rocprofiler-dev, 39346, 386823
spdlog, 39275, 386699
trimmomatic, 39010, 386120
xclipboard, 4365, 31693
xmag, 4317, 31201
zfp, 40445, 388596
at-spi2-atk, 38991, 384030
breakdancer, 39398, 395153
cp2k, 66806, 584753
fp16, 39041, 386140
groff, 39151, 388776
intel-oneapi-mkl, 250, 496
jdk, 322, 516
kassiopeia, 49481, 536243
linktest, 39029, 388948
mpilander, 38991, 384019
ompss, 40457, 402867
perl-io-html, 678, 3380
perl-regexp-common, 678, 3380
perl-yaml-libyaml, 678, 3380
ppopen-math-mp, 39007, 386461
py-azure-mgmt-reservations, 39605, 402609
py-coveralls, 4632, 30958
py-dvc, 47608, 498440
py-lmodule, 39247, 390853
py-phonopy, 44934, 455536
py-reportlab, 4009, 27512
py-sanic, 39718, 395210
py-ucx-py, 39108, 387263
r-allelicimbalance, 53511, 794944
r-exomedepth, 44112, 517865
r-htmltools, 39673, 399049
r-memuse, 39294, 390051
r-prabclus, 39415, 394384
r-robustbase, 39372, 392244
r-squash, 39263, 389997
r-zcompositions, 39732, 403167
scantailor, 39121, 386477
sysget, 199, 258
tcl-tclxml, 4396, 31574
tixi, 39061, 386293
wxpropgrid, 39031, 388081
astral, 39029, 386339
bpp-suite, 39198, 392524
cosp2, 39021, 386499
evemu, 961, 5919
extrae, 40429, 400273
global, 341, 1237
gnuradio, 40712, 420174
hyperscan, 39072, 386502
lemon, 39031, 386071
libwebsockets, 39047, 386187
model-traits, 40150, 405221
ocaml, 337, 1118
octave-struct, 41714, 436270
perl-inline, 700, 3616
perl-path-tiny, 678, 3380
perl-xml-libxslt, 4618, 34511
proj, 39148, 388652
py-azure-mgmt-network, 39605, 402609
py-contextily, 48952, 538494
py-jupyter-server, 41694, 423074
py-phonenumbers, 4430, 28870
py-psyclone, 39086, 388799
py-qtpy, 40206, 405908
py-torch-scatter, 51929, 497438
r-askpass, 39288, 392063
r-combinat, 39261, 389983
r-fit-models, 39322, 392153
r-hoardr, 39525, 396627
r-mda, 39439, 394428
r-pracma, 39294, 390051
r-robust, 39864, 409675
r-stargazer, 39261, 389983
ragel, 212, 418
rdptools, 39046, 388343
setxkbmap, 1180, 7979
singularity-legacy, 39046, 63766
suite-sparse, 39550, 392134
vegas2, 39465, 396498
xtrans, 290, 945
astra, 1147, 7498
authd, 197, 244
beakerlib, 199, 258
bitmap, 4350, 31540
bolt, 39055, 386253
constype, 290, 945
cppcheck, 4418, 29283
ctpl, 5518, 39141
dftbplus, 64449, 577400
git-imerge, 39117, 386233
hipace, 45226, 455144
less, 198, 251
libbinio, 198, 251
libdaemon, 199, 258
libfontenc, 353, 1489
liblouis, 202, 279
libpcap, 4140, 28650
libwindowswm, 1221, 8280
libxvmc, 1283, 8937
lucene, 39009, 386118
mpibind, 39072, 386330
open-isns, 201, 272
openjdk, 249, 300
openstf, 39016, 386488
perl-text-soundex, 678, 3380
poamsa, 197, 244
pruners-ninja, 39023, 386585
py-azureml-dataset-runtime, 44862, 441113
py-dendropy, 4430, 28868
